# TITLE  Co1 Fe1 [Cubic, Centric (-1 at origin)]
#        a         b         c       alpha     beta      gamma
# CELL    2.85700   2.85700   2.85700  90.00000  90.00000  90.00000
# SPCGRP  P m -3 m [Number  221]
#                    X         Y         Z         B         Occ       Spin      Charge
# Atom  Co1                    0.00000   0.00000   0.00000   0.00000   0.02083   0.00000   0.00000
# Atom  Fe1                    0.50000   0.50000   0.50000   0.00000   0.02083   0.00000   0.00000
# COMMAND cif2hkl CoFe_56273.cif --output CoFe_56273.txt
# CIF2HKL (c) ILL 2012 E. Farhi <farhi@ill.eu> based on CrysFML
# DATE    12/06/2019 at 13:30:12
#
# Physical parameters:
# sigma_coh        12.00121 coherent   scattering cross section in [barn]
# sigma_inc         5.23051 incoherent scattering cross section in [barn]
# sigma_abs        39.74000 absorption scattering cross section in [barn]
# density           4.92185 in [g/cm^3]
# weight          114.77820 in [g/mol]
# Vc               23.32011 volume of unit cell in [A^3]
# lattice_a         2.85700 lattice parameter a in [Angs]
# lattice_b         2.85700 lattice parameter b in [Angs]
# lattice_c         2.85700 lattice parameter c in [Angs]
# lattice_aa       90.00000 lattice angle alpha in [deg]
# lattice_bb       90.00000 lattice angle beta in [deg]
# lattice_cc       90.00000 lattice angle gamma in [deg]
# STRUCTURE FACTORS(NEUTRONS)
#
# Format parameters: Crystallographica format
# column_h  1
# column_k  2
# column_l  3
# column_j  4   multiplicity 'j'
# column_d  5   d-spacing 'd' in [Angs]
# column_F2 6   norm of scattering factor |F|^2 in [barn]
#
# List   200 reflections for lambda >     0.5000 [Angs], decreasing d-spacing.
# H   K   L     Mult    dspc                   |Fc|^2
   1    0    0     6       2.85700       0.48442
   1    1    0    12       2.02020       1.42564
   1    1    1     8       1.64949       0.48442
   2    0    0     6       1.42850       1.42564
   2    1    0    24       1.27769       0.48442
   2    1    1    24       1.16637       1.42564
   2    2    0    12       1.01010       1.42564
   2    2    1    24       0.95233       0.48442
   3    0    0     6       0.95233       0.48442
   3    1    0    24       0.90346       1.42564
   3    1    1    24       0.86142       0.48442
   2    2    2     8       0.82474       1.42564
   3    2    0    24       0.79239       0.48442
   3    2    1    48       0.76357       1.42564
   4    0    0     6       0.71425       1.42564
   4    1    0    24       0.69292       0.48442
   3    2    2    24       0.69292       0.48442
   4    1    1    24       0.67340       1.42564
   3    3    0    12       0.67340       1.42564
   3    3    1    24       0.65544       0.48442
   4    2    0    24       0.63884       1.42564
   4    2    1    48       0.62345       0.48442
   3    3    2    24       0.60911       1.42564
   4    2    2    24       0.58318       1.42564
   5    0    0     6       0.57140       0.48442
   4    3    0    24       0.57140       0.48442
   4    3    1    48       0.56030       1.42564
   5    1    0    24       0.56030       1.42564
   3    3    3     8       0.54983       0.48442
   5    1    1    24       0.54983       0.48442
   5    2    0    24       0.53053       0.48442
   4    3    2    48       0.53053       0.48442
   5    2    1    48       0.52161       1.42564
   4    4    0    12       0.50505       1.42564
   4    4    1    24       0.49734       0.48442
   5    2    2    24       0.49734       0.48442
   5    3    0    24       0.48997       1.42564
   4    3    3    24       0.48997       1.42564
   5    3    1    48       0.48292       0.48442
   6    0    0     6       0.47617       1.42564
   4    4    2    24       0.47617       1.42564
   6    1    0    24       0.46969       0.48442
   6    1    1    24       0.46347       1.42564
   5    3    2    48       0.46347       1.42564
   6    2    0    24       0.45173       1.42564
   4    4    3    24       0.44619       0.48442
   5    4    0    24       0.44619       0.48442
   6    2    1    48       0.44619       0.48442
   5    4    1    48       0.44084       1.42564
   5    3    3    24       0.43569       0.48442
   6    2    2    24       0.43071       1.42564
   5    4    2    48       0.42590       0.48442
   6    3    0    24       0.42590       0.48442
   6    3    1    48       0.42124       1.42564
   4    4    4     8       0.41237       1.42564
   6    3    2    48       0.40814       0.48442
   7    0    0     6       0.40814       0.48442
   5    5    0    12       0.40404       1.42564
   5    4    3    48       0.40404       1.42564
   7    1    0    24       0.40404       1.42564
   7    1    1    24       0.40006       0.48442
   5    5    1    24       0.40006       0.48442
   6    4    0    24       0.39619       1.42564
   7    2    0    24       0.39244       0.48442
   6    4    1    48       0.39244       0.48442
   5    5    2    24       0.38879       1.42564
   7    2    1    48       0.38879       1.42564
   6    3    3    24       0.38879       1.42564
   6    4    2    48       0.38178       1.42564
   7    2    2    24       0.37842       0.48442
   5    4    4    24       0.37842       0.48442
   7    3    0    24       0.37514       1.42564
   7    3    1    48       0.37195       0.48442
   5    5    3    24       0.37195       0.48442
   6    5    0    24       0.36580       0.48442
   6    4    3    48       0.36580       0.48442
   7    3    2    48       0.36284       1.42564
   6    5    1    48       0.36284       1.42564
   8    0    0     6       0.35712       1.42564
   7    4    0    24       0.35437       0.48442
   6    5    2    48       0.35437       0.48442
   8    1    0    24       0.35437       0.48442
   7    4    1    48       0.35167       1.42564
   8    1    1    24       0.35167       1.42564
   5    5    4    24       0.35167       1.42564
   7    3    3    24       0.34904       0.48442
   6    4    4    24       0.34646       1.42564
   8    2    0    24       0.34646       1.42564
   7    4    2    48       0.34394       0.48442
   8    2    1    48       0.34394       0.48442
   6    5    3    48       0.34148       1.42564
   6    6    0    12       0.33670       1.42564
   8    2    2    24       0.33670       1.42564
   8    3    0    24       0.33439       0.48442
   6    6    1    24       0.33439       0.48442
